whitePixelOnTopHalfCount,whitePixelOnBottomHalfCount,leftSideShape,rightSideShape,topShape,bottomShape,distanceCenter,heightWidthRatio
 5,  46,  53,  59, 111,  90,  24,602.844,2.03077
 7,  58,  71, 143,  78, 214,  94,839.084,0.97025
 1,  22,  39,  32,  24,  32,   5,300.252,6.12094
 7,  66,  46, 123,  95, 143, 104,726.629,1.52909
 1,  27,  41,  43,  63,  79,   9,358.56,3.74434
 1,  37,  59,  79,  93, 120,  29,547.903,2.14842
 6,  39, 102,  50,  94, 122,  22,886.74,1.4554
 3,  66,  99, 155,  54, 181,  45,1134.35,1.5438
 0,  70,  91,  48,  63, 149,  71,1430.62,0.95143
 2,  28,  88,  38, 114, 242, 103,721.46,0.842265
 9,  61,  76, 104,  41, 133,  48,805.743,1.15971
 3,  93, 145, 102,  45, 156,  29,1849.01,1.17769
 1,  26,  42,  43,  43,  51,   4,319.355,3.53482
 1,  38,  66, 108,  77, 154,  35,593.219,1.80782
 0,  79, 123,  51,  63, 173,  60,1563.93,0.900223
 4,  41,  85, 128, 107, 183, 118,721.057,1.03958
 9,  54,  84,  95,  38, 119,  39,753.608,1.38701
 2,  77, 124,  58,  86, 172,  69,1430.91,1.18464
 0,  62,  87,  58,  46, 127,  35,1105.19,1.26946
 0,  89, 134,  97,  52, 179,  54,1641.08,1.00637
 2,  87, 108, 130,  81, 169,  87,1431.53,1.31425
 0,  91, 133,  45,  37, 134,  50,1992.62,1.0162
 2,  40,  95, 139,  73, 169,  18,869.19,1.74171
 7,  71,  62, 108, 127, 170,  82,932.407,1.16085
 1,  14,  35,  53,  42,  70,  10,298.505,3.93745
 8,  65,  87,  84,  97, 144,  35,927.768,1.86111
 6,  48,  96,  56,  93, 100,  23,971.55,1.62537
 4,  38,  95, 131, 137, 218, 151,791.886,0.946822
 1,  33,  66,  43,  34,  55,   7,508.218,3.55543
 6,  40, 116,  87,  51, 121,  25,948.874,1.57606
 3,  52,  74, 107,  70, 130,  55,803.836,2.04561
 4,  57, 100,  84, 114, 175,  92,925.868,1.00194
 5,  37,  62, 121,  35, 137,  29,595.909,3.25574
 9,  46,  56,  57,  65,  89,  40,569.962,2.29041
 1,  49,  72, 115, 111, 173, 100,733.459,1.31734
 3,  77, 104, 167,  64, 205,  53,1283.08,1.51326
 3,  43,  62, 117,  63, 128,  87,743.216,1.94903
 8,  54,  68,  76,  80, 129,  50,755.278,2.19882
 5,  55, 109, 105,  56, 142,  21,1086.52,1.52254
 4,  37,  96, 107,  88, 163,  67,742.374,1.10225
 7,  33,  41, 130,  58, 102,  11,541.484,2.36247
 7,  59,  64, 111, 121, 201,  79,733.204,1.18449
 4,  36,  77,  64, 121, 181,  96,658.786,1.13416
 2,  41,  94,  65,  82, 209,  82,877.886,1.07023
 8,  54,  67,  68,  62,  92,  69,807.062,1.78559
 5,  36,  80,  70, 134, 207, 131,730.092,0.99752
 8,  64,  99,  86, 118, 171, 103,1125.55,1.50022
 6,  35, 101,  49,  70, 100,  21,766.723,1.68884
 7,  43,  70, 113,  55, 140,  34,654.531,1.65132
 3,  71,  90, 135,  26, 109,  91,1285.02,1.40818
 4,  38, 107, 119, 143, 234, 129,817.019,1.02809
 6,  42, 103,  66,  80,  99,  22,916.087,1.43977
 1,  30,  52,  66,  47,  86,   9,462.077,4.09155
 9,  42,  55,  70,  84, 122,  48,526.308,1.67452
 9,  67,  59, 132,  78, 151,  98,809.203,1.28532
 6,  39, 119,  74,  63, 115,  22,921.902,1.34527
 0,  58,  91,  44,  59, 171,  70,1223.34,0.881743
 3,  63, 109, 166,  71, 221,  67,1204.27,1.4255
 7,  52,  46, 123,  61, 167, 112,687.982,0.827684
 2,  62, 114,  52,  78, 179,  89,1132.57,1.02841
 8,  49,  74,  82,  84, 114,  59,670.639,1.93778
 2,  81, 120,  98, 108, 185,  49,1511.89,1.37837
 9,  52,  73,  75,  47,  97,  44,707.424,1.7488
 4,  44,  88,  97, 126, 159,  91,712.876,0.971722
 4,  55, 122,  90,  55, 183,  87,1167.5,0.785792
 6,  41, 116,  72,  75, 114,  24,885.808,1.44372
 4,  43,  76,  80,  78, 141,  62,651.178,1.2814
 9,  55,  84,  63,  86, 127,  62,833.613,1.34522
 7,  66,  85,  81,  74, 101,  57,943.355,2.15392
 0,  67, 112,  54,  36, 114,  17,1209.45,1.45535
 9,  55,  71,  98,  45, 117,  45,708.378,1.38489
 2,  59, 127,  71,  95, 203,  82,1227.51,1.13095
 9,  69,  67, 136,  89, 173, 113,871.387,1.2932
 5,  21,  68,  93,  97, 239, 103,550.669,1.01234
 1,  23,  39,  42,  48,  59,   8,326.084,4.16987
 5,  40,  85,  74, 113, 222, 105,798.495,1.17345
 9,  51,  58,  94,  34,  95,  44,665.95,2.11571
 1,  37,  65,  79,  66, 126,  13,583.788,2.27318
 2,  37,  76, 133,  60, 170,  53,921.646,1.05217
 3,  78, 119, 104,  61, 168,  50,1387.85,1.17186
 2,  31,  50,  78,  67, 115,  14,541.265,3.36857
 3,  86, 103, 115,  87, 179,  74,1363.98,1.27543
 5,  68,  80,  99,  63, 113,  39,1015.03,1.70115
 9,  48,  64,  84,  82, 127,  70,670.439,1.51048
 1,  29,  35,  47,  38,  49,   3,377.311,4.74026
 7,  76,  78, 122,  79, 196,  70,1036.8,0.992927
 6,  29,  93,  34, 116, 142,  28,802.677,1.26198
 2,  74, 123,  91, 105, 179,  66,1478.84,1.37061
 8,  50,  93,  44,  39,  91,  41,988.094,1.53532
 2,  55, 123,  43, 102, 215,  86,1090.2,1.04285
 2,  50,  98, 128,  76, 195,  46,1026.77,1.49103
 5,  32,  72,  79, 134, 224, 128,669.283,1.0102
 0,  58,  97,  61,  52, 126,  29,1172.86,1.1615
 7,  77,  76, 131, 101, 200,  96,977.72,1.01343
 4,  43,  85,  76,  36, 137,  53,815.703,1.00453
 9,  61,  63,  80,  91, 139,  56,721.782,1.68546
 7,  75,  56, 166,  30, 153,  82,1013.57,1.16229
 8,  58,  75,  82, 143, 179, 131,906.658,1.6567
 3,  65,  86, 118,  59, 134,  82,1061.91,1.67699
 2,  39, 104,  71,  64, 214,  73,892.073,0.979408
 1,  36,  51,  37,  51,  65,   7,457.906,3.8475
 1,  35,  68, 144, 104, 218,  98,635.218,1.34815
 8,  64,  89, 108, 127, 179, 118,978.866,1.53286
 3,  73,  97, 134,  79, 204,  73,1234.61,1.35663
 6,  27, 100,  40,  97, 115,  24,658.38,1.63919
 1,  34,  67, 113,  90, 164,  39,595.259,1.61708
 0,  79, 112,  57,  45, 163,  36,1679.62,1.02755
 3,  63, 101, 103,  80, 192,  70,1123.99,1.14217
 1,  30,  57,  53,  48,  74,  15,501.452,2.88074
 0,  85, 115,  42,  68, 153,  54,1669.44,1.06362
 0,  43,  62,  40,  43, 115,  38,834.007,1.42661
 1,  32,  50,  50,  59,  72,   9,447.629,3.08715
 7,  47,  42, 118,  38, 111,  51,514.601,2.67643
 2,  62, 135, 121,  78, 204,  64,1376.97,1.20973
 7,  78,  61, 213,  56, 175, 108,1000.89,1.27357
 3,  66, 103, 163,  37, 186,  56,1250.65,1.63636
 0,  58,  89,  38,  48, 124,  55,1071.67,1.46439
 4,  33,  81, 111,  46, 161,  52,669.745,1.13344
 6,  36, 102,  41,  89, 112,  33,867.258,1.33554
 5,  46,  95,  92,  99, 195,  75,981.344,1.20965
 2,  79, 121, 127,  93, 125,  43,1647.16,1.33964
 6,  48, 137,  71,  87, 148,  39,1196.65,1.18055
 4,  52, 123,  82,  63, 179,  87,1225.17,0.66915
 7,  67,  68,  49,  99, 120,  72,873.628,1.50582
 1,  65,  82, 125,  86, 149,  79,1031,1.53811
 8,  71, 114,  93,  62, 158,  54,1203.7,1.47413
 9,  47,  58, 123,  31, 112,  44,660.785,1.45729
 9,  54,  66,  60, 139, 105,  81,693.049,1.90083
 3,  40,  63, 147, 107, 185, 111,731.629,1.48357
 0,  76, 115,  55,  66, 176,  45,1615.34,0.994923
 7,  55,  52,  80, 104, 117,  82,722.271,1.66498
 1,  32,  55,  58,  49,  81,  11,452.471,3.06121
 0,  40,  63,  47,  28,  72,  11,704.241,1.69072
 2,  56, 113, 148,  53, 168,  50,1221.05,1.22315
 0,  72,  96,  62,  38, 120,  31,1205.69,1.25874
 3,  69,  95, 172,  53, 205,  44,1173.83,1.575
 5,  74,  77, 103, 155, 184, 133,1136.72,1.68314
 4,  34,  82, 119,  47, 172,  59,729.894,1.05738
 6,  34, 100,  60,  87, 102,  34,843.457,1.32955
 5,  44,  87, 112,  78, 229,  68,878.79,1.22237
 8,  46,  64,  52,  96, 109,  47,612.202,2.40014
 6,  38, 110,  63, 121, 169,  62,1115.3,0.955946
 3,  68, 134, 102,  46, 161,  22,1432.33,1.35375
 7,  62,  58, 103,  70, 129,  70,846.554,1.42633
 5,  68, 120,  62,  69, 117,  38,1298.68,1.37578
 8,  60,  89,  71,  93, 146,  80,1000.81,1.68362
 0,  67,  73,  44,  48, 149,  47,1373.39,1.03778
 9,  48,  62,  60, 110, 102,  63,626.586,1.87591
 1,  39,  61,  40,  91, 122,  14,572.154,2.88888
 0,  80, 112,  48,  60, 159,  52,1650.84,1.00923
 3,  42,  97,  93,  42, 209,  49,849.921,0.941644
 1,  39,  58,  49, 188,  94,  46,509.343,2.55278
 2,  56, 101,  78, 135, 215, 103,1048.48,1.48111
 2,  62, 141, 143,  46, 155,  48,1580.33,1.08818
 3,  50,  82,  99,  39, 122,  67,920.416,1.49097
 3,  70, 105, 136,  79, 208,  76,1267.47,1.46941
 6,  26,  70,  87,  73, 115,  10,567.984,1.89288
 4,  31,  93, 135,  71, 198,  87,751.121,1.02325
 7,  46,  45, 102,  64,  91,  58,573.505,2.19676
 5,  40,  92, 123,  81, 218,  74,860.191,1.14768
 0,  33,  73,  27,  40, 210,  68,817.982,0.714399
 6,  36, 114,  76,  99, 157,  39,904.458,1.25874
 2,  44,  90,  96, 153, 203,  51,940.547,1.53866
 7,  76,  66,  98,  99, 147,  96,972.027,1.44388
 9,  44,  79, 113,  65, 158,  70,763.501,1.10556
 8,  68, 114,  77,  66, 153,  56,1213.43,1.59584
 5,  69, 100,  80, 117, 116,  23,1237.84,1.69058
 9,  54,  61,  76,  62,  97,  58,655.119,1.9879
 2,  37,  82,  76, 110, 230, 109,716.843,1.08946
 1,  30,  50,  82,  67, 114,  13,458.305,2.71995
 1,  16,  33,  54,  47,  65,   8,280.66,4.30041
 4,  27,  81, 119,  57, 163,  43,594.096,1.23523
 4,  63,  84, 117,  79, 192, 104,976.419,0.931037
 5,  33,  92,  91,  66, 241,  44,850.447,1.11174
 6,  32,  78, 107,  62, 144,  30,732.247,1.54356
 4,  34,  90, 133,  53, 195,  68,716.891,0.970211
 1,  23,  39,  46,  46,  57,   9,307.83,3.47584
 2,  66, 135, 135,  37, 158,  22,1582.33,1.18926
 5,  43,  81,  94,  54, 127,  15,926.619,1.82551
 3,  51,  78, 132,  54, 164,  93,1021.76,1.66202
 9,  43,  66,  79,  62, 115,  38,559.494,1.46408
 3,  63, 101, 168,  57, 197,  51,1282.92,1.43361
 9,  47,  54, 166,  58, 163,  62,682.78,1.12787
 0,  86, 137,  54,  51, 148,  54,1845.25,0.979059
 5,  66,  88,  79,  81, 132,  62,1251.2,1.24393
 9,  42,  60,  58,  50,  77,  32,569.246,2.20761
 6,  60, 142,  61,  76, 134,  34,1258.73,1.41803
 5,  29,  74,  71,  71, 232,  68,680.357,0.979599
 7,  53,  44, 147,  54, 112,  83,664.057,2.02915
 4,  21,  81, 142,  51, 185,  60,586.471,1.0576
 1,  28,  48,  52,  63,  73,  13,403.869,2.76701
 3,  54,  91, 168,  61, 218,  43,1031.57,1.75363
 4,  40,  86,  86, 124, 188,  87,633.809,1.44584
 0,  95, 146,  43,  39, 120,  33,1839.39,1.11164
 4,  50, 129, 111,  39, 234,  92,1290.65,0.58517
 8,  53,  84,  90,  89, 152,  85,898.424,1.69108
 0,  63, 100,  55,  78, 137,  51,1261.78,1.09437
 4,  34,  89, 153,  73, 211, 108,773.38,0.946008
 3,  64, 102, 102,  66, 140,  42,1147.47,1.68818
 6,  49, 136,  71,  86, 133,  47,1164.17,1.13092
 8,  45,  70,  67,  73, 119,  24,693.967,2.4218
 7,  61,  60,  72,  95, 124,  76,789.822,1.56277
 6,  41, 108,  89,  66, 135,  20,864.502,1.55907
 0,  81, 138,  76,  55, 165,  42,1607.63,1.14409
 9,  46,  29, 120,  26,  84,  51,435.834,1.99814
 7,  58,  62,  80, 102, 134,  87,774.27,1.49525
 5,  63, 106, 103,  53, 191,  36,1239.82,1.08742
 7,  51,  56,  61,  81,  98,  56,704.465,1.90861
 2,  57, 124, 144,  39, 165,  46,1361.09,1.10585
 1,  24,  46,  87,  69, 118,  25,410.575,2.23301
 1,  16,  36,  27,  26,  29,   6,320.408,5.09836
 6,  35, 113,  86,  91, 165,  25,909.253,1.31459
 8,  55, 118,  83, 151, 180, 147,1102.2,1.33331
 9,  55,  63,  66,  67,  97,  52,655.314,1.92737
 4,  34,  77,  85,  82, 185,  98,691.294,0.936131
 1,  35,  56,  90,  86, 131,  35,522.768,1.88564
 5,  40,  67, 136,  82, 140, 108,794.863,1.38337
 2,  49, 119, 152,  53, 168,  50,1304.97,1.18675
 2,  50,  83,  86, 157, 244, 108,879.351,1.31765
 9,  50,  74,  52,  73,  99,  48,722.289,1.6855
 0,  65, 105,  55,  46, 121,  27,1174.38,1.47699
 3,  61,  96, 152,  60, 186,  50,1114.34,1.54898
 9,  47,  74, 102,  42, 125,  62,762.315,1.07375
 6,  36,  90,  79, 124, 152,  49,942.228,1.18058
 7,  60,  81, 131,  95, 171,  76,885.327,1.32117
 2,  65, 130, 141,  68, 190,  73,1383.52,1.20537
 0,  64,  89,  54,  60, 130,  40,1112.35,1.24578
 3,  62, 100, 179,  69, 242,  54,1191.99,1.44415
 5,  60, 124,  79, 107, 147,  75,1194.28,1.38794
 4,  31, 100, 151,  71, 195,  92,822.887,0.914673
 3,  60,  83, 134,  70, 153,  22,1014.64,1.91457
 6,  37, 104,  61,  82, 122,  30,826.627,1.36973
 5,  52,  82,  82, 121, 105,  17,925.44,1.6517
 8,  76, 103,  37,  79, 106,  47,1234.42,1.48219
 9,  49,  83,  73,  54, 108,  47,842.902,1.2564
 5,  35,  87,  78,  95, 206,  95,767.673,1.00003
 4,  39,  66,  72,  52, 116,  37,588.915,1.51253
 7,  67,  74,  84, 103, 149,  94,979.898,1.33021
 4,  42,  72,  89, 117, 200, 142,695.753,0.954025
 2,  56, 127, 156,  52, 183,  38,1420.84,1.14718
 7,  45,  68, 116,  63, 167,  68,668.12,1.37388
 3,  61, 109, 155,  62, 221,  58,1310.1,1.331
 4,  26,  71,  93,  89, 152,  80,506.339,1.35403
 8,  64,  90, 106, 106, 177,  97,1016.79,1.59611
 9,  37,  62, 109,  63, 123,  77,579.47,1.23041
 1,  34,  58,  91,  84, 133,  33,527.555,1.86333
 9,  51,  77, 127,  60, 175,  70,866.114,1.7361
 2,  47, 128, 176,  47, 190,  31,1372.66,1.11363
 8,  69, 102,  47,  42,  79,  12,1038.3,1.85042
 7,  73,  63, 104, 112, 151, 110,998.079,1.36246
 9,  54,  79,  67,  43,  98,  34,757.606,1.66398
 1,  35,  64,  89,  77, 130,  42,572.726,1.72679
 8,  74, 120,  51,  55, 123,  34,1275.13,1.39114
 7,  55,  61,  83,  73, 114,  53,781.071,1.87253
 4,  35,  61,  84,  76, 109,  54,497.295,1.49469
 1,  36,  70, 114,  70, 159,  42,609.239,1.62082
 3,  43,  48, 129,  27,  76,  40,744.12,2.26323
 1,  39,  67,  85,  60, 121,  33,567.642,1.89504
 1,  26,  39,  39,  45,  56,   4,358.398,3.89637
 0,  68, 111,  70,  57, 162,  36,1322.71,1.08969
 2,  59,  80,  93, 182, 225,  98,1120.04,1.85022
 3,  54, 100, 136,  75, 206,  66,1189.92,1.52756
 9,  50,  65,  67,  65, 104,  50,630.402,1.72339
 4,  24,  74, 121,  68, 161,  64,547.594,1.21184
 9,  44,  62,  65,  62, 100,  38,589.558,1.76752
 2,  66, 118, 133,  54, 153,  39,1307.9,1.40617
 1,  22,  40,  70,  24,  83,   3,322.422,4.49677
 6,  42, 110,  62, 110, 145,  37,1009.26,1.30584
 8,  58,  74,  65, 139, 158,  95,761.493,1.93034
 4,  39,  76, 124,  89, 181, 106,677.55,1.11944
 7,  46,  51,  70,  58,  72,  34,563.05,3.39371
 7,  72,  72,  86,  82, 135,  84,1038.7,1.41463
 4,  39,  76,  72, 113, 174,  98,655.277,1.02249
 4,  30,  82, 135,  75, 184,  91,624.427,1.00513
 9,  60,  94,  68,  43, 106,  23,814.193,1.45909
 2,  60, 135, 145,  50, 187,  38,1486.09,1.13463
 5,  39,  65,  44,  75,  86,  26,649.349,2.59086
 7,  75,  82,  86,  94, 146,  81,1087,1.42799
 2,  51, 108, 115, 122, 213,  62,1232.57,1.49412
 4,  31,  75, 122,  81, 168,  64,559.871,1.08257
 4,  50, 116,  73,  93, 205,  82,1132.93,0.826067
 2,  63, 118, 137,  48, 181,  37,1267.43,1.30353
 1,  32,  47,  19,  19,  20,   4,406.019,4.96716
 9,  53,  84,  79,  68, 124,  53,776.646,1.35105
 7,  54,  72, 168, 102, 216, 125,706.478,1.04126
 2,  61, 142, 144,  50, 193,  34,1588.68,1.1185
 8,  74, 104, 113,  61, 129,  81,1303.83,1.28064
 7,  58,  61,  86,  78, 117,  67,823.452,1.56374
 6,  23,  60,  46,  94,  83,  21,435.286,2.02527
 9,  51,  72,  59,  70, 100,  51,683.592,1.8409
 2,  61,  95,  67,  63, 134,  15,992.972,1.87221
 2,  52, 136, 132,  32, 184,  26,1293.88,1.0183
 3,  59,  93, 144,  59, 152,  70,1156.43,1.3959
 8,  58,  84,  93, 118, 178, 117,964.979,1.50288
 1,  31,  54,  30,  99, 114,   7,472.887,3.0349
 6,  37, 113,  74,  96, 156,  34,963.844,1.24608
 5,  42,  73, 108,  88, 142,  60,724.468,1.64946
 1,  32,  58, 122,  78, 168,  48,510.949,1.72448
 1,  24,  36,  19,  34,  35,   3,334.722,6.59091
 0,  83, 151,  81,  47, 161,  46,1674.68,1.07055
 2,  57,  99, 104, 132, 196, 111,1198.17,1.53352
 6,  35,  80,  65,  70, 101,  19,685.527,1.53254
 4,  33,  80, 128,  59, 187,  83,667.541,0.973361
 5,  48,  86,  98,  93, 204,  73,884.996,1.1881
 8,  71, 107,  73,  53, 137,  63,1261.73,1.35035
 3,  54, 105, 163,  59, 228,  54,1181.53,1.34509
 1,  32,  53,  27,  82, 103,   7,454.978,3.62385
 5,  42,  86, 118,  98, 216,  83,854.996,1.27328
 1,  23,  41,  35,  53,  51,   5,330.664,4.16405
 9,  52,  77, 152,  71, 133,  43,769.388,1.4501
 2,  50, 100, 113, 144, 213,  81,1078.65,1.61701
 7,  63,  62,  83, 101, 135,  79,792.98,1.51128
 4,  30,  49,  72, 134, 154, 105,403.623,1.42254
 4,  30,  64, 129,  87, 181,  95,522.649,1.10638
 4,  47,  94, 116,  39, 153,  14,789.398,1.46832
 8,  60,  91, 103, 104, 189,  98,1021.14,1.352
 1,  21,  63,  97,  35, 118,  15,521.275,2.11439
 5,  29,  68,  90,  91, 250,  86,563.01,1.08837
 8,  19,  66,  84, 101, 251, 112,496.874,0.805863
 9,  47,  74,  56,  68,  96,  51,721.652,1.63295
 5,  47,  63,  75,  81,  96,  51,664.753,2.10465
 6,  44, 116,  80,  75, 131,  30,954.188,1.36107
 7,  44,  43, 143, 115, 144, 123,545.772,2.3746
 9,  50,  65,  55,  79,  97,  59,647.631,1.7244
 9,  82,  83, 149,  85, 212,  88,1080.41,1.10993
 3,  64,  98, 123,  88, 208,  79,1121.24,1.28343
 7, 104,  73, 157,  70, 189,  89,1204.87,1.0375
 0,  92, 166,  83,  49, 170,  47,1849.77,1.0318
 9,  49,  62,  95,  24,  96,  34,724.699,1.45113
 0,  88, 133,  51,  53, 150,  51,1843.18,0.992584
 6,  33,  76,  72,  96, 133,  22,724.334,1.62521
 6,  37, 115,  62,  80, 114,  24,875.507,1.35065
 2,  51,  80, 139,  89, 135,  39,1073.19,1.51385
 3,  62,  90, 149,  68, 185,  57,1063.56,1.58993
 9,  46,  74, 113,  73, 172,  65,792.439,1.14616
 0,  70, 110,  61,  53, 162,  63,1529.37,0.937628
 7,  42,  45, 132,  60, 149,  74,495.29,1.42823
 5,  28,  79,  80,  71, 230,  60,653.646,1.04296
 4,  53,  92,  84,  43, 130,  49,848.782,1.18314
 8,  57, 102, 112,  94, 204,  85,996.896,1.2422
 0,  87, 137,  52,  71, 153,  57,1793,1.02663
 9,  51,  57,  72,  56,  89,  46,588.114,1.97685
 4,  37,  70,  59,  73, 121,  43,625.425,1.31754
 1,  33,  53, 107,  76, 148,  32,485.66,1.71132
 2,  42,  53, 128, 117, 193,  83,649.951,2.2066
 8,  65, 102,  68,  82, 140,  71,1116.9,1.59791
 7,  65,  68,  74,  56, 137,  99,925.355,1.07705
 1,  34,  60, 120,  74, 166,  45,531.457,1.63482
 2,  45, 111, 187,  60, 242,  55,1047.83,1.02121
 6,  35, 115,  72,  92, 155,  46,936.176,1.20805
 1,  30,  52,  46,  47,  63,   5,444.497,4.14865
 0,  64, 124,  49, 116, 157,  85,1305.31,1.15771
 3,  50, 124,  91,  63, 192,  51,1235.23,1.03773
 0,  59, 109,  86,  67, 177,  72,1356.9,0.967678
 1,  16,  34,  24,  36,  30,   3,281.93,5.95845
 1,  31,  50, 122,  82, 181,  45,505.515,2.02665
 8,  42,  72,  47, 106, 108,  65,709.011,1.97226
